x_1,x_2,Label
177,375,1
174,425,1
137,259,1
194,320,1
276,353,1
226,381,1
346,322,1
310,393,1
77,294,1
182,265,1
52,266,1
90,315,1
193,403,1
211,321,1
249,409,1
47,320,1
202,289,1
138,252,1
225,390,1
157,397,1
194,365,1
146,397,1
240,346,1
138,395,1
216,308,1
168,269,1
115,401,1
83,347,1
156,407,1
97,255,1
238,296,1
199,430,1
209,250,1
81,285,1
230,425,1
219,315,1
350,334,1
328,334,1
253,364,1
224,363,1
72,326,1
150,403,1
223,286,1
72,280,1
303,352,1
222,245,1
113,358,1
296,375,1
266,323,1
239,386,1
94,388,1
161,389,1
186,326,1
240,328,1
64,302,1
305,392,1
96,333,1
374,309,1
202,293,1
276,403,1
88,233,1
141,295,1
263,412,1
283,364,1
161,363,1
139,299,1
88,320,1
327,331,1
222,314,1
321,383,1
148,391,1
217,378,1
81,254,1
209,307,1
82,253,1
280,336,1
115,377,1
139,233,1
78,311,1
295,383,1
102,294,1
310,308,1
98,256,1
253,309,1
76,360,1
112,379,1
229,423,1
122,267,1
279,325,1
325,345,1
80,334,1
187,394,1
207,280,1
116,303,1
123,347,1
206,342,1
82,286,1
264,362,1
368,319,1
96,379,1
350,177,2
522,173,2
463,237,2
312,147,2
441,179,2
365,213,2
515,268,2
524,150,2
535,163,2
544,221,2
519,191,2
405,155,2
485,217,2
386,122,2
550,249,2
453,143,2
555,195,2
521,271,2
464,140,2
488,235,2
451,271,2
431,231,2
339,157,2
481,156,2
568,226,2
559,162,2
536,227,2
536,151,2
458,250,2
465,184,2
526,249,2
540,149,2
566,169,2
421,138,2
500,239,2
582,227,2
308,173,2
465,129,2
440,219,2
326,160,2
543,184,2
413,222,2
511,262,2
418,233,2
500,157,2
456,198,2
418,145,2
572,176,2
481,231,2
389,204,2
386,142,2
580,178,2
456,216,2
539,259,2
519,242,2
547,208,2
408,241,2
456,173,2
372,143,2
353,186,2
492,122,2
489,162,2
398,170,2
535,268,2
512,269,2
460,182,2
343,132,2
571,235,2
548,249,2
400,224,2
591,215,2
470,191,2
532,156,2
557,180,2
325,143,2
323,137,2
421,247,2
456,117,2
356,130,2
418,129,2
489,207,2
516,151,2
416,109,2
493,210,2
418,114,2
408,170,2
368,138,2
485,150,2
432,214,2
463,256,2
371,187,2
532,168,2
523,213,2
310,159,2
490,142,2
407,206,2
463,190,2
557,229,2
484,218,2
454,151,2
