x_1,x_2,Label
186,373,1
185,397,1
139,375,1
86,383,1
124,403,1
153,397,1
130,374,1
183,382,1
108,393,1
113,414,1
165,411,1
184,385,1
143,413,1
110,394,1
151,404,1
84,408,1
108,403,1
106,401,1
123,399,1
169,396,1
180,409,1
160,377,1
169,375,1
200,378,1
109,399,1
105,408,1
152,370,1
127,398,1
176,374,1
139,394,1
321,140,2
357,74,2
222,189,2
327,133,2
217,175,2
252,87,2
357,110,2
121,184,2
134,194,2
168,112,2
219,174,2
310,155,2
236,116,2
131,195,2
177,149,2
234,187,2
138,198,2
285,110,2
267,75,2
242,141,2
275,107,2
248,121,2
194,187,2
188,125,2
129,156,2
136,167,2
232,99,2
141,158,2
162,204,2
271,113,2
